Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form Of Contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,NDA/Pre Qualification,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Published Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address
Airports Authority of India||Southern Region - AAI||CHENNAI-AIRPORT - AAI||COMMERCIAL-VOMM - AAI,AAI/SR/CH/SHORT TERM/SALEM/COMML,2023_AAI_167824_1,Yes,Open Tender,Item Rate,Services,2,No,No,Online,No,No,No,"2,000",Nil,Nil,No,"50,000",No,fixed,NA,Nil,Nil,"LICENSE FOR OPERATING SNACK BAR IN THE CITY SIDE AREA OF TERMINAL BUILDING, LICENSE FOR VEHICLE PARKING MANAGEMENT RIGHTS AT CITY SIDE AREA OF TERMINAL BUILDING, TROLLEY ADVERTISEMENT RIGHTS CUM RETRIEVAL AT SALEM AIRPORT UNDER RCS.","LICENSE FOR OPERATING SNACK BAR IN THE CITY SIDE AREA OF TERMINAL BUILDING, LICENSE FOR VEHICLE PARKING MANAGEMENT RIGHTS AT CITY SIDE AREA OF TERMINAL BUILDING, TROLLEY ADVERTISEMENT RIGHTS CUM RETRIEVAL AT SALEM AIRPORT UNDER RCS.",AS PER NIT,NA,NA,Miscellaneous Services,NA,Tender,180,180,SALEM,636309,NA,NA,NA,CHENNAI,No,No,15-Sep-2023 05:50 PM,25-Sep-2023 03:00 PM,15-Sep-2023 05:50 PM,22-Sep-2023 03:00 PM,15-Sep-2023 05:50 PM,19-Sep-2023 03:00 PM,15-Sep-2023 05:50 PM,22-Sep-2023 03:00 PM,SENIOR MANAGER(COMMERCIAL),"O/o.THE REGIIONAL EXECUTIVE DIRECTOR, AIRFPORTS AUTHORITY OF INDIA, SOUTHERN REGION OPERATIONAL OFFICES COMPLEX, CHENNAI 16"
Airports Authority of India||Southern Region - AAI||CALICUT - AAI||COMMERCIAL-VOCL - AAI,SPA01/2023,2023_AAI_167842_1,Yes,Open Tender,Lump-sum,Services,2,No,No,Online,No,No,No,"10,000",Nil,Nil,No,"1,34,000",No,fixed,NA,Nil,Nil,"License to Operate SPA/Wellness Centre and Massage Chairs inside International Terminal Security Hold Area, Calicut Airport","License to Operate SPA/Wellness Centre and Massage Chairs inside International Terminal Security Hold Area, Calicut Airport",Please refer NIT,NA,NA,Miscellaneous Services,NA,Tender,180,1825,CALICUT AIRPORT,673647,NA,NA,NA,CALICUT AIRPORT,No,No,15-Sep-2023 05:00 PM,09-Oct-2023 03:30 PM,15-Sep-2023 05:00 PM,07-Oct-2023 03:00 PM,NA,NA,15-Sep-2023 05:00 PM,07-Oct-2023 03:00 PM,APD CALICUT,AAI CALICUT AIRPORT
Airports Authority of India||Eastern Region - AAI||PATNA - AAI||COMMERCIAL-VEPT - AAI,Trolley_Sept2023(ShortTerm),2023_AAI_167684_1,Yes,Open Tender,Lump-sum,Services,2,No,No,Online,No,No,No,"10,000",Nil,Nil,No,"1,56,000",No,fixed,NA,Nil,Nil,Notice Inviting Short e-Tender (NIT) For License for Trolley Advertisement Rights Cum Retrieval,Notice Inviting Short e-Tender (NIT) For License for Trolley Advertisement Rights Cum Retrieval,Please refer Tender documents.,NA,"1,76,000",Miscellaneous Services,NA,Tender,180,90,Patna,800014,NA,NA,NA,"JPNI Airport, Patna",No,No,15-Sep-2023 12:00 PM,22-Sep-2023 12:00 PM,15-Sep-2023 12:00 PM,21-Sep-2023 12:00 PM,15-Sep-2023 12:00 PM,18-Sep-2023 12:00 PM,15-Sep-2023 12:00 PM,21-Sep-2023 12:00 PM,Jt. GM (Commercial),"JPNI Airport, Patna"
Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||ENGG CIVIL-ER - AAI,AAI/AUR/E-C/W-129/2023,2023_AAI_167703_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"1,60,200",No,fixed,NA,Nil,Nil,Miscellaneous civil repair works in operational area at Aurangabad Airport (2023-24),Miscellaneous civil repair works in operational area at Aurangabad Airport (2023-24),As per NIT and Tender Documents,NA,"80,05,934",Civil Works,NA,Tender,90,180,Aurangabad Airport,431007,NA,NA,NA,Aurangabad Airport,No,No,15-Sep-2023 09:00 AM,06-Oct-2023 11:00 AM,15-Sep-2023 09:00 AM,05-Oct-2023 10:00 AM,15-Sep-2023 09:00 AM,21-Sep-2023 06:00 PM,15-Sep-2023 09:00 AM,05-Oct-2023 10:00 AM,"AGM (E-C), AAI, Aurangabad Airport","ATS Complex, Airports Authority of India, Aurangabad Airport"
Airports Authority of India||Eastern Region - AAI||PATNA - AAI||ENGG CIVIL-VEPT - AAI,AAI/PT/AGM(E-C)/E-NIT-06/23-24,2023_AAI_167750_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"63,629",No,fixed,NA,Nil,Nil,"Upgradation and Renovation including flooring, washroom and allied Civil Works of Barracks and Mess at Anishabad, Patna for CISF at JPNI Airport, Patna.","Upgradation and Renovation including flooring, washroom and allied Civil Works of Barracks and Mess at Anishabad, Patna for CISF at JPNI Airport, Patna.",Please refer Tender documents.,NA,"31,81,450",Civil Works,NA,Rate Contract,90,150,"JPNI Airport, Patna.",800014,NA,NA,NA,"JPNI Airport, Patna.",No,No,15-Sep-2023 09:00 AM,09-Oct-2023 11:00 AM,15-Sep-2023 09:00 AM,05-Oct-2023 06:00 PM,15-Sep-2023 09:00 AM,23-Sep-2023 06:00 PM,15-Sep-2023 09:00 AM,05-Oct-2023 06:00 PM,AGM (E-C),"JPNI Airport, Patna."
Airports Authority of India||Western Region - AAI||BHAVNAGAR - AAI||ENGG CIVIL-VABV - AAI,AAI/WR/SM(E-C)/KANDLA/AMC23-24,2023_AAI_167507_1,Yes,Open Tender,Percentage,Works,2,No,No,Online,No,No,No,"1,120",Nil,Nil,No,"1,20,000",No,fixed,NA,Nil,Nil,Annual Repair and Maintenance Contract of Civil Works for Operational Area and Terminal Building for the year 2023-24 at C.A. Kandla,Annual Repair and Maintenance Contract of Civil Works for Operational Area and Terminal Building for the year 2023-24 at C.A. Kandla,As per NIT,NA,"60,00,000",Civil Works,NA,Tender,90,365,KANDLA,370240,NA,NA,NA,"AAI,RHQ-WR,MUMBAI",No,No,14-Sep-2023 06:30 PM,09-Oct-2023 11:00 AM,14-Sep-2023 06:30 PM,06-Oct-2023 11:00 AM,14-Sep-2023 06:30 PM,01-Oct-2023 06:00 PM,14-Sep-2023 06:30 PM,06-Oct-2023 11:00 AM,"Dinesh Kanwat, Sr.Manager (Engg-Civil)","AAI, RHQ-WR,Mumbai"
Airports Authority of India||North East Region - AAI||RHQ-NER - AAI||ENGG CIVIL-NER - AAI,AAI/SR/Vellore-AMC/2023-24/,2023_AAI_167645_1,Yes,Open Tender,Percentage,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"60,000",No,fixed,NA,Nil,Nil,AR MO Civil Works at Vellore Airport During the year 2023 24 SH Annual Maintenance Contract for Day to Day Maintenance And minor civil works,AR MO Civil Works at Vellore Airport During the year 2023 24 SH Annual Maintenance Contract for Day to Day Maintenance And minor civil works,Please refer Tender documents.,NA,"30,00,000",Civil Works,NA,Tender,90,365,Chennai,600016,NA,NA,NA,"AAI, RHQ, SR, Chennai",No,No,14-Sep-2023 06:00 PM,12-Oct-2023 11:00 AM,15-Sep-2023 09:30 AM,09-Oct-2023 06:00 PM,15-Sep-2023 09:30 AM,05-Oct-2023 06:00 PM,15-Sep-2023 09:30 AM,09-Oct-2023 06:00 PM,"AGM (E-C), AAI, RHQ/SR","AGM (E-C), AAI, RHQ/SR, Chennai Airport, Chennai - 600016."
Airports Authority of India||CHQ - AAI||Engineering Civil - AAI,AAI/RGB/IMU/(E-C)/Name Plate/22-23,2023_AAI_167446_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"15,989",No,fixed,NA,Nil,Nil,"Annual rate contract for providing name plates/white writing board, soft board and signage in R. G. Bhawan and its Annex Buildings, New Delhi for the year 2023-24","Annual rate contract for providing name plates/white writing board, soft board and signage in R. G. Bhawan and its Annex Buildings, New Delhi for the year 2023-24.",As per Tender Document,NA,"7,99,460",Civil Works,NA,Tender,90,365,"Rajiv Gandhi Bhawan, New Delhi",110003,NA,NA,NA,"Rajiv Gandhi Bhawan, New Delhi",No,No,14-Sep-2023 06:00 PM,09-Oct-2023 11:00 AM,15-Sep-2023 09:30 AM,07-Oct-2023 06:00 PM,15-Sep-2023 09:30 AM,22-Sep-2023 06:00 PM,15-Sep-2023 09:30 AM,07-Oct-2023 06:00 PM,AGM (E-C)-IMU,"IMU Section, Rajiv Gandhi Bhawan, New Delhi 110003"
Airports Authority of India||Western Region - AAI||PUNE - AAI||COMMERCIAL-VAPO - AAI,15/2023,2023_AAI_167691_1,Yes,Open Tender,Lump-sum,Services,2,No,No,Online,No,No,No,"50,000",Nil,Nil,No,"26,74,000",No,fixed,NA,Nil,Nil,"Comprehensive License for operating Executive Lounge, Meet and Greet and Trolley Retrieval cum Advertisement","Comprehensive License for operating Executive Lounge, Meet and Greet and Trolley Retrieval cum Advertisement",Please refer Tender documents.,NA,"83,30,000",Miscellaneous Services,NA,Tender,180,1825,PUNE AIRPORT,411032,"O/o The Airport Director, Pune Airport","PUNE AIRPORT, PUNE",22-Sep-2023 03:00 PM,PUNE AIRPORT,No,No,14-Sep-2023 05:00 PM,06-Oct-2023 05:00 PM,14-Sep-2023 05:00 PM,05-Oct-2023 05:00 PM,NA,NA,14-Sep-2023 05:00 PM,05-Oct-2023 05:00 PM,APD (PUNE),PUNE AIRPORT
Airports Authority of India||Northern Region - AAI||RHQ-NR - AAI||ENGG CIVIL-NR - AAI,AAI/SAP/INA/E-C/Misc.23-24,2023_AAI_167576_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"1,98,220",No,fixed,NA,Nil,Nil,"Miscellaneous Civil Works at INA Colony, New Delhi for the year 2023-24","Miscellaneous Civil Works at INA Colony, New Delhi for the year 2023-24",Please refer Tender documents.,NA,"99,11,000",Civil Works,NA,Tender,90,240,"INA Colony, New Delhi",110023,NA,NA,NA,"Safdarjung Airport, New Delhi",No,No,14-Sep-2023 04:00 PM,11-Oct-2023 11:00 AM,14-Sep-2023 05:00 PM,09-Oct-2023 06:00 PM,14-Sep-2023 05:00 PM,22-Sep-2023 06:00 PM,14-Sep-2023 05:00 PM,09-Oct-2023 06:00 PM,AGM Engg.(C)-SAP,"Asstt. Gen. Manager Engg.(C), AAI, Safdarjung Airport, New Delhi-110003"
Airports Authority of India||Southern Region - AAI||CALICUT - AAI||COMMERCIAL-VOCL - AAI,SL01/2023,2023_AAI_167666_1,Yes,Open Tender,Lump-sum,Services,2,No,No,Online,No,No,No,"4,000",Nil,Nil,No,"50,000",No,fixed,NA,Nil,Nil,LICENSE TO SETUP AND OPERATE SMOKING LOUNGE AND SALES KIOSK IN INTERNATIONAL TERMINAL SECURITY HOLD AREA AT CALICUT AIRPORT,LICENSE TO SETUP AND OPERATE SMOKING LOUNGE AND SALES KIOSK IN INTERNATIONAL TERMINAL SECURITY HOLD AREA AT CALICUT AIRPORT,Please refer Tender documents.,NA,NA,Miscellaneous Services,NA,Tender,180,1825,CALICUT AIRPORT,673647,NA,NA,NA,CALICUT AIRPORT,No,No,14-Sep-2023 03:30 PM,05-Oct-2023 04:00 PM,14-Sep-2023 03:30 PM,04-Oct-2023 03:30 PM,NA,NA,14-Sep-2023 03:30 PM,04-Oct-2023 03:30 PM,APD CALICUT,"AAI, CALICUT AIRPORT"
Airports Authority of India||CHQ - AAI||Engineering Civil - AAI,AAI/CHQ/WR/RWY/Solapur/2023,2023_AAI_167568_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"5,900",Nil,Nil,No,"62,55,000",Yes,fixed,NA,Nil,Nil,Development of Solapur Airport for VFR Operations,Development of Solapur Airport for VFR Operations Sub Head Recarpeting of Runway and Taxiway Extension of Existing Apron Perimeter Road and operational drain work at Solapur Airport,Please refer tender document,NA,"37,55,43,000",Construction Works,NA,Tender,90,240,Solapur,413224,NA,NA,NA,New Delhi,No,No,13-Sep-2023 06:55 PM,12-Oct-2023 03:00 PM,14-Sep-2023 09:30 AM,04-Oct-2023 06:00 PM,14-Sep-2023 09:30 AM,20-Sep-2023 06:00 PM,16-Sep-2023 09:30 AM,04-Oct-2023 06:00 PM,AGM (E-C),AAI CHQ RG Bhawan New Delhi
Airports Authority of India||Eastern Region - AAI||Jharsuguda - AAI||General-VEJH-AAI,AAI/JH/Engg. (C)/Misc. Ops./eNIT/2023-24,2023_AAI_167604_1,Yes,Open Tender,Works,Works,2,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"1,46,325",No,fixed,NA,Nil,Nil,Miscellaneous Work in Operational area at V.S.S Airport Jharsuguda,Miscellaneous Work in Operational area at V.S.S Airport Jharsuguda,Please refer Tender documents.,NA,"73,16,238",Civil Works,NA,Tender,90,180,"VSS Airport, Jharsuguda",768204,NA,NA,NA,"VSS Airport, Jharsuguda",No,No,13-Sep-2023 06:55 PM,12-Oct-2023 11:00 AM,14-Sep-2023 09:30 AM,10-Oct-2023 06:00 PM,14-Sep-2023 09:30 AM,21-Sep-2023 06:00 PM,14-Sep-2023 09:30 AM,10-Oct-2023 06:00 PM,DGM (Engg.-C),"VSS Airport, Jharsuguda"
Airports Authority of India||Eastern Region - AAI||RANCHI - AAI||ENGG CIVIL-VERC - AAI,AAI/SRN/ENGG(C)/Misc TB/,2023_AAI_167443_1,Yes,Open Tender,Item Rate,Works,2,No,No,Online,No,No,No,"2,19,296",Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,"Miscellaneous civil works in Terminal Building , Modification inside Terminal Building partition work , Glazing repair , SS work , Repair of TB Toilets , Repair of drainage and sewerage, repair of apron, renovation of Security Morchas and passenger t","Miscellaneous civil works in Terminal Building , Modification inside Terminal Building partition work , Glazing repair , SS work , Repair of TB Toilets , Repair of drainage and sewerage, repair of apron, renovation of Security Morchas and passenger t",As per Tender Document,NA,"1,09,64,824",Civil Works,NA,Tender,90,240,Srinagar Airport,190007,NA,NA,NA,Srinagar Airport,No,No,13-Sep-2023 06:30 PM,07-Oct-2023 11:00 AM,13-Sep-2023 06:30 PM,05-Oct-2023 06:00 PM,13-Sep-2023 06:30 PM,20-Sep-2023 06:00 PM,13-Sep-2023 06:30 PM,05-Oct-2023 06:00 PM,"AGM (E-C), AAI, SIA","AGM (E-C), AAI, Srinagar International Airport"
Airports Authority of India||Northern Region - AAI||AGRA - AAI||CNS-AGRA - AAI,AAI/Agra/Comml/h_j/2023,2023_AAI_166660_1,Yes,Open Tender,Sale,Services,2,No,No,Online,No,No,No,"2,000",Nil,Nil,Yes,"50,000",No,fixed,NA,Nil,Nil,License for Handicraft and Jewelry Shop (SHA) at Agra Airport,License for Handicraft and Jewelry Shop (SHA) at Agra Airport,Please refer Tender documents.,NA,"22,400",Handicrafts,Jewellery,Tender,180,180,Agra Airport,282008,Agra Airport,Agra Airport,25-Sep-2023 03:00 PM,Agra Airport,No,No,13-Sep-2023 06:00 PM,05-Oct-2023 03:00 PM,13-Sep-2023 06:00 PM,04-Oct-2023 03:00 PM,13-Sep-2023 06:00 PM,20-Sep-2023 03:00 PM,13-Sep-2023 06:00 PM,04-Oct-2023 03:00 PM,Airport Director,Agra Airport
