e-Published Date,Closing Date,Opening Date,Title and Ref.No./Tender ID,Organisation Chain
15-Sep-2023 05:00 PM,07-Oct-2023 03:00 PM,09-Oct-2023 03:30 PM,"[License to Operate SPA/Wellness Centre and Massage Chairs inside International Terminal Security Hold Area, Calicut Airport]
																				[SPA01/2023][2023_AAI_167842_1]",Airports Authority of India||Southern Region - AAI||CALICUT - AAI||COMMERCIAL-VOCL - AAI
15-Sep-2023 12:00 PM,21-Sep-2023 12:00 PM,22-Sep-2023 12:00 PM,"[Notice Inviting Short e-Tender (NIT) For License for Trolley Advertisement Rights Cum Retrieval]
																				[Trolley_Sept2023(ShortTerm)][2023_AAI_167684_1]",Airports Authority of India||Eastern Region - AAI||PATNA - AAI||COMMERCIAL-VEPT - AAI
15-Sep-2023 09:00 AM,05-Oct-2023 10:00 AM,06-Oct-2023 11:00 AM,"[Miscellaneous civil repair works in operational area at Aurangabad Airport (2023-24)]
																				[AAI/AUR/E-C/W-129/2023][2023_AAI_167703_1]",Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||ENGG CIVIL-ER - AAI
15-Sep-2023 09:00 AM,05-Oct-2023 06:00 PM,09-Oct-2023 11:00 AM,"[Upgradation and Renovation including flooring, washroom and allied Civil Works of Barracks and Mess at Anishabad, Patna for CISF at JPNI Airport, Patna.]
																				[AAI/PT/AGM(E-C)/E-NIT-06/23-24][2023_AAI_167750_1]",Airports Authority of India||Eastern Region - AAI||PATNA - AAI||ENGG CIVIL-VEPT - AAI
14-Sep-2023 06:30 PM,06-Oct-2023 11:00 AM,09-Oct-2023 11:00 AM,"[Annual Repair and Maintenance Contract of Civil Works for Operational Area and Terminal Building for the year 2023-24 at C.A. Kandla]
																				[AAI/WR/SM(E-C)/KANDLA/AMC23-24][2023_AAI_167507_1]",Airports Authority of India||Western Region - AAI||BHAVNAGAR - AAI||ENGG CIVIL-VABV - AAI
14-Sep-2023 06:00 PM,07-Oct-2023 06:00 PM,09-Oct-2023 11:00 AM,"[Annual rate contract for providing name plates/white writing board, soft board and signage in R. G. Bhawan and its Annex Buildings, New Delhi for the year 2023-24]
																				[AAI/RGB/IMU/(E-C)/Name Plate/22-23][2023_AAI_167446_1]",Airports Authority of India||CHQ - AAI||Engineering Civil - AAI
14-Sep-2023 06:00 PM,09-Oct-2023 06:00 PM,12-Oct-2023 11:00 AM,"[AR MO Civil Works at Vellore Airport During the year 2023 24 SH Annual Maintenance Contract for Day to Day Maintenance And minor civil works]
																				[AAI/SR/Vellore-AMC/2023-24/     ][2023_AAI_167645_1]",Airports Authority of India||North East Region - AAI||RHQ-NER - AAI||ENGG CIVIL-NER - AAI
14-Sep-2023 05:00 PM,05-Oct-2023 05:00 PM,06-Oct-2023 05:00 PM,"[Comprehensive License for operating Executive Lounge, Meet and Greet and Trolley Retrieval cum Advertisement]
																				[15/2023][2023_AAI_167691_1]",Airports Authority of India||Western Region - AAI||PUNE - AAI||COMMERCIAL-VAPO - AAI
14-Sep-2023 04:00 PM,09-Oct-2023 06:00 PM,11-Oct-2023 11:00 AM,"[Miscellaneous Civil Works at INA Colony, New Delhi for the year 2023-24]
																				[AAI/SAP/INA/E-C/Misc.23-24][2023_AAI_167576_1]",Airports Authority of India||Northern Region - AAI||RHQ-NR - AAI||ENGG CIVIL-NR - AAI
14-Sep-2023 03:30 PM,04-Oct-2023 03:30 PM,05-Oct-2023 04:00 PM,"[LICENSE TO SETUP AND OPERATE SMOKING LOUNGE AND SALES KIOSK IN INTERNATIONAL TERMINAL SECURITY HOLD AREA AT CALICUT AIRPORT]
																				[SL01/2023][2023_AAI_167666_1]",Airports Authority of India||Southern Region - AAI||CALICUT - AAI||COMMERCIAL-VOCL - AAI
13-Sep-2023 06:55 PM,04-Oct-2023 06:00 PM,12-Oct-2023 03:00 PM,"[Development of Solapur Airport for VFR Operations]
																				[AAI/CHQ/WR/RWY/Solapur/2023][2023_AAI_167568_1]",Airports Authority of India||CHQ - AAI||Engineering Civil - AAI
13-Sep-2023 06:55 PM,10-Oct-2023 06:00 PM,12-Oct-2023 11:00 AM,"[Miscellaneous Work in Operational area at V.S.S Airport Jharsuguda]
																				[AAI/JH/Engg. (C)/Misc. Ops./eNIT/2023-24][2023_AAI_167604_1]",Airports Authority of India||Eastern Region - AAI||Jharsuguda - AAI||General-VEJH-AAI
13-Sep-2023 06:30 PM,05-Oct-2023 06:00 PM,07-Oct-2023 11:00 AM,"[Miscellaneous civil works in Terminal Building , Modification inside Terminal Building partition work , Glazing repair , SS work , Repair of TB Toilets , Repair of drainage and sewerage, repair of apron, renovation of Security Morchas and passenger t]
																				[AAI/SRN/ENGG(C)/Misc TB/][2023_AAI_167443_1]",Airports Authority of India||Eastern Region - AAI||RANCHI - AAI||ENGG CIVIL-VERC - AAI
13-Sep-2023 06:00 PM,04-Oct-2023 03:00 PM,05-Oct-2023 03:00 PM,"[License for Handicraft and Jewelry Shop (SHA) at Agra Airport]
																				[AAI/Agra/Comml/h_j/2023][2023_AAI_166660_1]",Airports Authority of India||Northern Region - AAI||AGRA - AAI||CNS-AGRA - AAI
13-Sep-2023 06:00 PM,19-Sep-2023 03:00 PM,20-Sep-2023 03:30 PM,"[E Tender(short term) for flower stall in check in area at Madurai Airport]
																				[AAI/MDU/COMML/ET/202324/07][2023_AAI_167510_1]",Airports Authority of India||Southern Region - AAI||MADURAI - AAI||COMMERCIAL-VOMD - AAI
13-Sep-2023 06:00 PM,06-Oct-2023 06:30 PM,09-Oct-2023 11:00 AM,"[Construction of Boundary Wall for Protection to AAI Land at Solapur Airport]
																				[AAI/SOLAPUR/CIVIL/2023-24/01][2023_AAI_167233_1]",Airports Authority of India||Western Region - AAI||SURAT - AAI||ENGG CIVIL-VASU - AAI
13-Sep-2023 05:30 PM,18-Oct-2023 11:00 AM,23-Oct-2023 03:30 PM,"[HIRING OF 53 NOS. OF LIGHT CATEGORY OF BULLET PROOF VEHICLES (LBPVs) FOR THE OPERATIONAL USE OF CISF PERSONNEL (Q.R.T) AT VARIOUS AAI AIRPORTS IN INDIA FOR A PERIOD OF 05 (FIVE) YEARS AND FURTHER EXTENDABLE BY 02 (TWO) MORE YEARS.]
																				[SE/4/2022-AIRPORT SECURITY][2023_AAI_167574_1]",Airports Authority of India||CHQ - AAI||Technical - AAI
13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,06-Oct-2023 04:00 PM,"[License for Operating Retail Outlet Facility (Footwear and Leather Accessories)]
																				[CHIAL/COMML/RETAIL/R18/2023-24][2023_AAI_167344_1]",Airports Authority of India||Northern Region - AAI||CHANDIGARH - AAI||COMMERCIAL-CG - AAI
13-Sep-2023 04:00 PM,04-Oct-2023 04:00 PM,05-Oct-2023 04:00 PM,"[License	for Operating Two Numbers of Smoking Lounge and Sales Kiosk at Ranchi Airport]
																				[AAI/RC/CML/SL/2023/SEPT][2023_AAI_167432_1]",Airports Authority of India||Eastern Region - AAI||RANCHI - AAI||COMMERCIAL-VERC - AAI
13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,06-Oct-2023 04:00 PM,"[License for operating Retail Outlet Facility (Packed Sweet Shop)]
																				[CHIAL/COMML/ADR02/2023-24][2023_AAI_167392_1]",Airports Authority of India||Northern Region - AAI||CHANDIGARH - AAI||COMMERCIAL-CG - AAI
13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,06-Oct-2023 04:00 PM,"[License for Operating Retail Outlet Facility (Conveneince Retail)]
																				[CHIAL/COMML/ADR01/2023-24][2023_AAI_167391_1]",Airports Authority of India||Northern Region - AAI||CHANDIGARH - AAI||COMMERCIAL-CG - AAI
13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,06-Oct-2023 04:00 PM,"[License for Operating Retail Outlet Facility (Eyewear and Watches)]
																				[CHIAL/COMML/RETAIL/R14/2023-24][2023_AAI_167334_1]",Airports Authority of India||Northern Region - AAI||CHANDIGARH - AAI||COMMERCIAL-CG - AAI
13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,06-Oct-2023 04:00 PM,"[License for operating Retail Outlet Facility (Branded Readymade Garments)]
																				[CHIAL/COMML/RETAIL/R17/2023-24][2023_AAI_167340_1]",Airports Authority of India||Northern Region - AAI||CHANDIGARH - AAI||COMMERCIAL-CG - AAI
13-Sep-2023 04:00 PM,05-Oct-2023 04:00 PM,06-Oct-2023 04:00 PM,"[License for operating Retail Outlet (Convenience Retail)]
																				[CHIAL/COMML/RETAIL/R13/2023-24][2023_AAI_167316_1]",Airports Authority of India||Northern Region - AAI||CHANDIGARH - AAI||COMMERCIAL-CG - AAI
13-Sep-2023 12:00 PM,03-Oct-2023 11:00 AM,04-Oct-2023 11:00 AM,"[Provision of Air-Conditioning systems and other miscellaneous electrical works at Aligarh Airport]
																				[AAI/RHQ/NR/ENGG(E)/Aligarh-VRV][2023_AAI_167398_1]",Airports Authority of India||Northern Region - AAI||RHQ-NR - AAI||ENGG ELECT-NR - AAI
13-Sep-2023 09:30 AM,11-Oct-2023 06:00 PM,17-Oct-2023 11:00 AM,"[Construction of Link road for NCC Hanger at Puducherry Airport ]
																				[AAI/PDY/MGR(E-C)/NCC/Link Road/2023-24/][2023_AAI_167082_1]",Airports Authority of India||Southern Region - AAI||PONDICHERRY - AAI||ENGG CIVIL-VOPC - AAI
13-Sep-2023 09:00 AM,19-Sep-2023 06:00 PM,21-Sep-2023 11:00 AM,"[Annual Maintenance Contract for Civil Works in Residential Colony during 2023-24 at JPNI Airport, Patna]
																				[AAI/PT/AGM(E-C)/E-NIT-05/23-24][2023_AAI_167409_1]",Airports Authority of India||Eastern Region - AAI||PATNA - AAI||ENGG CIVIL-VEPT - AAI
13-Sep-2023 09:00 AM,23-Sep-2023 06:00 PM,25-Sep-2023 11:00 AM,"[External Painting of NTR and RGT terminal buildings at Begumpet Airport, Hyderabad.]
																				[AAI/HYD/ENGG(C)/W-03/2023-24][2023_AAI_167386_1]",Airports Authority of India||Southern Region - AAI||HYDERABAD - AAI||ENGG CIVIL-VOHY - AAI
12-Sep-2023 06:00 PM,04-Oct-2023 06:00 PM,06-Oct-2023 11:00 AM,"[Storage space requirement for New automation and ASMGCS project.]
																				[AAI/WR/MUM/ATS/ENGG.-CIVIL/157][2023_AAI_167093_1]",Airports Authority of India||Western Region - AAI||RHQ-WR - AAI||ENGG CIVIL-WR - AAI
12-Sep-2023 06:00 PM,20-Sep-2023 06:00 PM,21-Sep-2023 06:00 PM,"[Short Term License to operate Food and Beverages Outlets (in Departure) at  Srinagar International Airport]
																				[AAI/SXR/Comml/F and B-Dep][2023_AAI_167345_1]",Airports Authority of India||Western Region - AAI||VADODARA - AAI||COMMERCIAL-VABO - AAI
12-Sep-2023 06:00 PM,04-Oct-2023 06:00 PM,06-Oct-2023 11:00 AM,"[Construction of Fixed Finger, Rotunda for SITC of PBB at S.V Airport Raipur. SH Electrical works.]
																				[AAI/E-E/ROTUNDA/23-24/ENIT-01][2023_AAI_166841_1]",Airports Authority of India||Eastern Region - AAI||RAIPUR - AAI||ENGG ELECT-VARP - AAI
12-Sep-2023 05:00 PM,04-Oct-2023 05:00 PM,06-Oct-2023 11:00 AM,"[Supply of GLF Sapres and other allied works for E and M installations at Darbhanga Airport]
																				[AAI/DBR/2023-24/GLFSAPRES][2023_AAI_167317_1]",Airports Authority of India||North East Region - AAI||RHQ-NER - AAI||ENGG ELECT-NER - AAI
12-Sep-2023 03:00 PM,03-Oct-2023 03:00 PM,06-Oct-2023 11:00 AM,"[License for Snacks Bar Counter in SHA at Kandla Airport]
																				[AAI/Kandla/Comml/SBC/2023-25][2023_AAI_166570_1]",Airports Authority of India||Western Region - AAI||KANDLA - AAI||CNS-VAKE - AAI
12-Sep-2023 12:40 PM,18-Sep-2023 03:00 PM,19-Sep-2023 03:35 PM,"[conducting audit   submission  of Audit reports  on year wise of  Alliance   Air Av iation Ltd. Selected Airline Operator (SAO)]
																				[AAI/CHQ/RCS/alliance air/2022-23][2023_AAI_167331_1]",Airports Authority of India||CHQ - AAI||Finance - AAI
12-Sep-2023 12:30 PM,18-Sep-2023 03:00 PM,19-Sep-2023 03:30 PM,"[conducting audit  submission of Audit reports year wise of InterGlobe  Av iation Pvt. Ltd. (Indigo) Selected Airline Operator (SAO) for the period from F.Y. 2018-19 to 2021-22(04 Financial Years).]
																				[AAI/CHQ/RCS/interglobe/2022-23][2023_AAI_167326_1]",Airports Authority of India||CHQ - AAI||Finance - AAI
12-Sep-2023 12:15 PM,18-Sep-2023 03:00 PM,19-Sep-2023 03:30 PM,"[conducting audit  submission of Audit reports on year wise of Spicejet Ltd. Selected Airline Operator (SAO)]
																				[AAI/CHQ/RCS/2022-23][2023_AAI_167318_1]",Airports Authority of India||CHQ - AAI||Finance - AAI
11-Sep-2023 06:55 PM,03-Oct-2023 03:00 PM,05-Oct-2023 11:00 AM,"[Patna-Signages]
																				[Patna - Signages][2023_AAI_166909_1]",Airports Authority of India||CHQ - AAI||Engineering Electrical - AAI
11-Sep-2023 06:30 PM,02-Oct-2023 06:00 PM,04-Oct-2023 11:00 AM,"[Annual Maintenance Contract for Operational area Grass/Bush cutting including Scaring away of Birds from operational area of Dehradun Airport for year 2023-24]
																				[AAI/DDN/ENGG/GRASS CUTTING/2023-24][2023_AAI_167273_1]",Airports Authority of India||Northern Region - AAI||ALLAHABAD - AAI||ENGG CIVIL-ALLAHABAD - AAI
11-Sep-2023 06:00 PM,04-Oct-2023 06:00 PM,06-Oct-2023 11:00 AM,"[Prepaid Taxi Service Counter License at Civil Enclave, Jodhpur]
																				[AAI/Jodhpur/Prepaid Taxi Counter/2023-24][2023_AAI_167136_1]",Airports Authority of India||Northern Region - AAI||JODHPUR - AAI||ENGG ELECT-JODHPUR - AAI
11-Sep-2023 06:00 PM,03-Oct-2023 06:00 PM,05-Oct-2023 11:00 AM,"[Cutting grass and bushes and levelling of earth beyond the Runway basic strip in operational area at Cooch Behar.]
																				[AAI/BD/Engg(C)/NIT-02/CB/23-24][2023_AAI_167215_1]",Airports Authority of India||Eastern Region - AAI||BAGDOGRA - AAI||ENGG CIVIL-VEBD - AAI
11-Sep-2023 06:00 PM,03-Oct-2023 06:00 PM,05-Oct-2023 11:00 AM,"[Renovation of AAI staff quarters at Cooch Behar Airport.]
																				[AAI/BD/Engg(C)/NIT-03/CB/23-24][2023_AAI_167216_1]",Airports Authority of India||Eastern Region - AAI||BAGDOGRA - AAI||ENGG CIVIL-VEBD - AAI
11-Sep-2023 04:00 PM,02-Oct-2023 03:00 PM,03-Oct-2023 03:00 PM,"[Comprehensive License for operation of Executive Lounge facility, Meet and Greet facility, and Trolley Retrieval cum advertisement Rights facility at Dehradun Airport ]
																				[AAI/DDN/COMML/EXELOUNGE/2023][2023_AAI_167237_1]",Airports Authority of India||Northern Region - AAI||DEHRADUN - AAI||COMMERCIAL-DEHRADUN - AAI
11-Sep-2023 03:00 PM,19-Sep-2023 03:00 PM,20-Sep-2023 03:30 PM,"[E tender(short term) for Traditional wear Shop in Domestic security hold area  at Madurai Airport]
																				[AAI/MDU/COMML/ET/202324/06][2023_AAI_167220_1]",Airports Authority of India||Southern Region - AAI||MADURAI - AAI||COMMERCIAL-VOMD - AAI
11-Sep-2023 01:00 PM,06-Oct-2023 06:00 PM,09-Oct-2023 11:00 AM,"[Periodical area clearance works including drainage system cleaning works and allied civil works at Safdarjung Airport, Jor Bagh Colony and its associated areas for the year 2023-24]
																				[AAI/SAP/E(C)/Periodical/23-24][2023_AAI_167200_1]",Airports Authority of India||CHQ - AAI||Engineering Civil - AAI
11-Sep-2023 11:00 AM,03-Oct-2023 03:00 PM,09-Oct-2023 03:00 PM,"[Construction of New Fire Station   at Raja Bhoj Airport Bhopal]
																				[AAI/BHOPAL/ENGGC/W-05/Fire][2023_AAI_166927_1]",Airports Authority of India||Western Region - AAI||BHOPAL - AAI||ENGG CIVIL-VABP - AAI
09-Sep-2023 01:00 PM,30-Sep-2023 06:00 PM,03-Oct-2023 11:00 AM,"[Painting of Runway, Apron, Taxiway marking during the year 2023-24 at Kishangarh Airport]
																				[AAI/KSG/AGM(C)/Rwy Paint/2023-24][2023_AAI_166304_1]",Airports Authority of India||Northern Region - AAI||KISHANGARH - AAI||ENGG CIVIL-KISHANGARH - AAI
08-Sep-2023 06:00 PM,20-Sep-2023 06:00 PM,22-Sep-2023 11:00 AM,"[Provision of Interleaving Circuit for Approach light and allied electrical works at JPNI Airport Patna]
																				[AAI/ER/PAT/AGM(E-E)/GLF Work/e-NIT-11/23-24][2023_AAI_167115_1]",Airports Authority of India||Western Region - AAI||GONDIA - AAI||ENGG ELECT-VAGD - AAI
08-Sep-2023 05:00 PM,22-Sep-2023 05:00 PM,25-Sep-2023 05:00 PM,"[E-Tender for award of License to Operate Snack Bar Services (Departure) at Gwalior Airport]
																				[	CL-12018/13/2023-APD-NR-AGRA	][2023_AAI_167100_1]",Airports Authority of India||Northern Region - AAI||AGRA - AAI||COMMERCIAL-AGRA - AAI
08-Sep-2023 09:00 AM,03-Oct-2023 06:00 PM,09-Oct-2023 05:00 PM,"[Development of Landscape including maintenance]
																				[AAI/CHQ-ER/Engg(C)/Patna/2023][2023_AAI_167019_1]",Airports Authority of India||CHQ - AAI||Engineering Civil - AAI
07-Sep-2023 04:00 PM,29-Sep-2023 04:00 PM,03-Oct-2023 04:00 PM,"[License to operate Baggage Wrapping Services in New International Terminal (T2) at Chennai Airport.]
																				[BaggagewrappingT2_Aug2023][2023_AAI_166572_1]",Airports Authority of India||Southern Region - AAI||CHENNAI-AIRPORT - AAI||COMMERCIAL-VOMM - AAI
07-Sep-2023 04:00 PM,28-Sep-2023 04:00 PM,29-Sep-2023 04:00 PM,"[Notice Inviting e-TenderforLICENSE FOR RETAIL OUTLET FOREYEWEAR ACCESSORIES STORE IN SHALOWER GROUND FLOORat NITB ]
																				[AAI/PB/COMML/EYEWEAR/2023][2023_AAI_166973_1]",Airports Authority of India||Eastern Region - AAI||PORTBLAIR - AAI||TERMINAL MGMT-VOPB - AAI
07-Sep-2023 04:00 PM,28-Sep-2023 04:00 PM,29-Sep-2023 04:00 PM,"[Notice Inviting e-Tender For LICENSE FOR RETAIL OUTLET FOR LEATHER GOODS AND ACCESSORIES SHOP IN SHA, LOWER GROUND FLOOR at NITB, VSI Airport, Port Blair]
																				[AAI/PB/COMML/LEATHER GOODS/2023][2023_AAI_166982_1]",Airports Authority of India||Eastern Region - AAI||PORTBLAIR - AAI||TERMINAL MGMT-VOPB - AAI
07-Sep-2023 04:00 PM,28-Sep-2023 04:00 PM,29-Sep-2023 04:00 PM,"[Notice Inviting e-Tender For LICENSE FOR RETAIL OUTLET FOR FRAGRNANCES, MAKEUP AND COSMETICS STORE IN SHA, LOWER GROUND FLOOR at NITB VSI Airport Port Blair]
																				[AAI/PB/COMML/FRAGRANCES/2023][2023_AAI_166980_1]",Airports Authority of India||Eastern Region - AAI||PORTBLAIR - AAI||TERMINAL MGMT-VOPB - AAI
07-Sep-2023 12:00 PM,28-Sep-2023 03:00 PM,29-Sep-2023 04:00 PM,"[Money Exchange Counter (Arrival Hall) At Aurangabad Airport]
																				[AAI/AU/COML/MEC-SEPT23/][2023_AAI_166591_1]",Airports Authority of India||Western Region - AAI||AURANGABAD - AAI||COMMERCIAL-VAAU - AAI
07-Sep-2023 09:00 AM,20-Sep-2023 05:00 PM,21-Sep-2023 05:00 PM,"[Construction of New Terminal Building, Second Link Taxi Track, Apron Expansion, and associated works at Prayagraj Airport- On Design and Build Basis. SH Construction of Prefabricated Office Building at Prayagraj Airport.]
																				[AAI/PRJ/2023/Prefab][2023_AAI_166840_1]",Airports Authority of India||Northern Region - AAI||ALLAHABAD - AAI||ENGG CIVIL-ALLAHABAD - AAI
07-Sep-2023 09:00 AM,18-Sep-2023 06:00 PM,20-Sep-2023 11:00 AM,"[Holistic Development of Surat Airport Including Extension of Terminal Building Apron and Construction of Parallel Taxi Track]
																				[AAI/SRT/AGM(E-E)/eNIT-01/2023][2023_AAI_157621_1]",Airports Authority of India||Western Region - AAI||RAJKOT - AAI||ENGG ELECT-VARK - AAI
07-Sep-2023 09:00 AM,27-Sep-2023 06:00 PM,29-Sep-2023 11:00 AM,"[Clearance of grass and jungle in operational area and Residential Colonies at Begumpet Airport including shyamlal area during the year 2023-24.]
																				[AAI/HYD/ENGG(C)/GAR/2023-24][2023_AAI_166850_1]",Airports Authority of India||Southern Region - AAI||HYDERABAD - AAI||ENGG CIVIL-VOHY - AAI
06-Sep-2023 06:35 PM,27-Sep-2023 06:00 PM,29-Sep-2023 03:00 PM,"[Establishment of Inflight Catering and Services on Design, Build, Finance, Operate, Maintain and Transfer (DBFOMT) basis at Ayodhya Airport.]
																				[AAI/CHQ/BDU/IFCS/Ayodhya/2023][2023_AAI_166940_1]",Airports Authority of India||CHQ - AAI||NIAMAR - AAI
06-Sep-2023 06:00 PM,27-Sep-2023 06:00 PM,28-Sep-2023 06:00 PM,"[Construction of Terminal Building and associated works at Leh Airport. SH Construction of RCC boundary wall in newly acquired land and watch tower for IAF at KBR Airport Leh.]
																				[AAI/LEH/ENGG-C/eNIT/B-wall][2023_AAI_166803_1]",Airports Authority of India||Northern Region - AAI||LEH - AAI||ENGG ELECT-LEH - AAI
06-Sep-2023 06:00 PM,27-Sep-2023 06:00 PM,29-Sep-2023 11:00 AM,"[License for Operation of Tea / Snack Bar (02 nos. - One in Security Hold Area(SHA) and city side)and Trolley Retrieval cum Advertisement Rights facility in clubbed manner at Bathinda Airport.]
																				[Bathinda/Clubbed/Aug2023][2023_AAI_166028_1]",Airports Authority of India||Northern Region - AAI||Bathinda-AAI||General-VIBT-AAI
06-Sep-2023 06:00 PM,28-Sep-2023 06:00 PM,29-Sep-2023 06:00 PM,"[Deployment of Security Personnel through Rajya Sainik Board]
																				[AAI/VOPB/CSO/PSA/2023][2023_AAI_166885_1]",Airports Authority of India||Eastern Region - AAI||PORTBLAIR - AAI||TERMINAL MGMT-VOPB - AAI
06-Sep-2023 06:00 PM,30-Sep-2023 06:00 PM,03-Oct-2023 11:00 AM,"[Provision of Vitrified Tiles in AAI Quarters at B.M. Airport, Ranchi.]
																				[AAI/RC/AGM(E-C)/Vitrified Tiles/2023-24][2023_AAI_166895_1]",Airports Authority of India||Eastern Region - AAI||RHQ-ER - AAI||ENGG CIVIL-ER - AAI
06-Sep-2023 05:30 PM,26-Sep-2023 03:00 PM,27-Sep-2023 03:30 PM,"[E Tender for Wellness Centre and SPA at Extended Domestic Security Hold Area, First Floor at Madurai Airport]
																				[AAI/MDU/COMML/ET/202324/05][2023_AAI_166891_1]",Airports Authority of India||Southern Region - AAI||MADURAI - AAI||COMMERCIAL-VOMD - AAI
06-Sep-2023 03:00 PM,26-Sep-2023 06:00 PM,28-Sep-2023 11:00 AM,"[Closing Vertical gap between Cable net Glazing and UGF Floor Slab of NITB]
																				[AAI/PB/ENGG(C)/GAP FILLING][2023_AAI_166836_1]",Airports Authority of India||Eastern Region - AAI||PORTBLAIR - AAI||ENGG CIVIL-VOPB - AAI
06-Sep-2023 01:30 PM,26-Sep-2023 03:00 PM,27-Sep-2023 03:30 PM,"[E Tender for Two Smoking Lounge and sales Kiosk in DSHA/ISHA areas at Madurai Airport]
																				[AAI/MDU/COMML/ET/202324/04][2023_AAI_166822_1]",Airports Authority of India||Southern Region - AAI||MADURAI - AAI||COMMERCIAL-VOMD - AAI
